Codigo calibracion,Fecha de ejecucion,Marca,Codigo,Serie,Nombre equipo,Id equipo,Archivo,Ubicación
"8776","2025-05-30","HAIER","MEQo1285","BE069 7E1T0 0QEQC D0019","NEVERA VERTICAL PANORÁMICA","10007","aea40fd850a0fbf33b1f1fa22e744a61.pdf","SALA OBSERVACION MEDICINA INTERNA"
"8774","2025-05-30","HAIER","MEQo1282","BE069 7E1T0 0QEQC D0022","NEVERA VERTICAL PANORÁMICA","10005","1d910cc1f6c601c845aaaad7050c787d.pdf","PEDIATRÍA URGENCIAS"
"8775","2025-05-30","HAIER","MEQo1284","BE069 7E1T0 0QEQC D0021","NEVERA VERTICAL PANORÁMICA","10006","e8691d1d8bf2527d296893740fdaeb0f.pdf","SALA DE REANIMACIÓN"
"8772","2025-05-30","HAIER","MEQo1286","BE069 7E1T0 0QEQC D0016","NEVERA VERTICAL PANORÁMICA","10009","865977f1e9a87803674b634c7ec29ca4.pdf",""
"8773","2025-05-30","HAIER","MEQo1283","BE069 7E1T0 0QEQC D0018","NEVERA VERTICAL PANORÁMICA","10008","b572de9b29375d060744205d8f671f25.pdf","TRAUMA 2"
"8762","2025-05-12","HAIER","MEQo1285","BE069 7E1T0 0QEQC D0019","NEVERA VERTICAL PANORÁMICA","10007","7cd9e70a2dee4f71b4ac61e09f5af933.pdf","SALA OBSERVACION MEDICINA INTERNA"
"8763","2025-05-12","HAIER","MEQo1284","BE069 7E1T0 0QEQC D0021","NEVERA VERTICAL PANORÁMICA","10006","08820aac0672af25de037cd417b65315.pdf","SALA DE REANIMACIÓN"
"8760","2025-05-12","HAIER","MEQo1283","BE069 7E1T0 0QEQC D0018","NEVERA VERTICAL PANORÁMICA","10008","37566c21c4aa6a9369d7fe5d6c43447b.pdf","TRAUMA 2"
"8764","2025-05-12","HAIER","MEQo1282","BE069 7E1T0 0QEQC D0022","NEVERA VERTICAL PANORÁMICA","10005","51d5600d556e995f2d738459042acb9b.pdf","PEDIATRÍA URGENCIAS"
"8761","2025-05-12","HAIER","MEQo1286","BE069 7E1T0 0QEQC D0016","NEVERA VERTICAL PANORÁMICA","10009","3436b9e7830ce56b789837c047d7de03.pdf",""
"8756","2025-04-29","SECA","EMCO6743","8354001241115","BASCULA PEDIATRICA","10003","b278cc00cc3fe3da366c502d7d7ae06e.pdf",""
"8744","2025-03-27","DIXELL","COMODATO-QUINBERLAB","0G2018000105","ULTRACONGELADOR","9998","e757617cf2ee393aa9f8dfacfc8ec614.pdf",""
"8597","2025-03-21","FLUKE BIOMEDICAL","","S1: (0000533594)- .S2: (00004243382)","MONITOR DE INDICADOR SONORO DE RADIACIÓN","8291","759d926024300cd7580eb106dd95aab5.pdf","ACELERADOR LINEAL"
"8596","2025-03-21","FLUKE BIOMEDICAL","","S1: 0000200421 - S2: 0000200566","MONITOR DE INDICADOR SONORO DE RADIACIÓN","8280","1396265eb611b61b0f68cb157d53d16b.pdf","ACELERADOR LINEAL"
"8595","2025-03-21","FLUKE BIOMEDICAL","","S1: (00004702003)- s2: (00004243266)","MONITOR DE INDICADOR SONORO DE RADIACIÓN","8292","ec85bd02365806726e657ecd5eb5d544.pdf",""
"8594","2025-03-21","fluke biomedical","emco3417","0000001391","Monitor de detector ambiental y de contaminación","8279","27aa6e37402c85a990c4e33c41a8ef88.pdf",""
"8602","2025-03-18","WIKA","","897YXQ0","VACUOMETRO BOMBA DE VACIO","8998","5a2e729d19aa5f813bf848868b3b272b.pdf","red vital- central de mezclas"
"8606","2025-03-17","GRIVAN","N.I","K973850","CUARTO FRIO","4252","b1fb2fc72267704c8338edb1b781b102.pdf","JEFATURA"
"8598","2025-02-28","LOVOL","N.I","DG100YM200A","PLANTA ELECTRICA","4214","a68e8af7c19bf65a9f031ce40245dcb9.pdf",""
"8599","2025-02-28","CATERPILLAR","MEQ00076","AFN00740","PLANTA ELECTRICA (MORGUE)","5753","068175e809fcd017a8e0486a07f25db3.pdf",""
